#OTUID	taxonomy	USEARCH	SINTAX	UTAX
OTU620	GS|99.3|KX193020|NA;k:Fungi,p:Chytridiomycota,c:Rhizophydiomycetes,o:Rhizophydiales,g:Operculomyces,s:Operculomyces laminatus	k:Fungi	k:Fungi,p:Chytridiomycota,c:Rhizophydiomycetes,o:Rhizophydiales,g:Operculomyces,s:Operculomyces laminatus	k:Fungi,p:Chytridiomycota,c:Rhizophydiomycetes,o:Rhizophydiales
OTU621	GS|99.7|EU819483|SH1611117.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Lactarius,s:Lactarius fuliginosus	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Lactarius,s:Lactarius fuliginosus	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Russulales,f:Russulaceae,g:Lactarius,s:Lactarius fuliginosus	k:Fungi
OTU622	US|0.9025|JX380825|NA;k:Ichthyosporia,c:Ichthyosporea,o:Ichthyophonida	k:Ichthyosporia,c:Ichthyosporea	k:Ichthyosporia	k:Ichthyosporia,c:Ichthyosporea,o:Ichthyophonida
OTU623	GS|100.0|KR935842|NA;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Coniochaeta,s:Coniochaeta ligniaria	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Coniochaeta,s:Coniochaeta ligniaria	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Coniochaeta,s:Coniochaeta ligniaria	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Coniochaeta
OTU624	SS|0.9800|FJ265754|NA;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Coniosporium	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi
OTU625	GS|100.0|UDB035294|SH1517982.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Chaetosphaeriales,f:Chaetosphaeriaceae,g:Gonytrichum,s:Gonytrichum macrocladum var terricola	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Chaetosphaeriales,f:Chaetosphaeriaceae,g:Gonytrichum,s:Gonytrichum macrocladum var terricola	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Chaetosphaeriales,f:Chaetosphaeriaceae	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Chaetosphaeriales,f:Chaetosphaeriaceae
OTU626	GS|97.0|MF569972|NA;k:Fungi,p:Mucoromycota,c:Endogonomycetes	k:Fungi	k:Fungi,p:Mucoromycota,c:Endogonomycetes	k:Fungi,p:Ascomycota
OTU627	GS|100.0|MF570017|NA;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota
OTU628	GS|99.2|KX776572|NA;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala	k:Fungi	k:Fungi	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala
OTU629	SS|1.0000|KX222116|NA;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Clavaria	k:Fungi	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Clavaria	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Clavariaceae,g:Clavaria
OTU630	SS|0.9600|DQ491490|NA;k:Fungi,p:Ascomycota,c:Geoglossomycetes,o:Geoglossales,f:Geoglossaceae,g:Geoglossum	k:Fungi,p:Ascomycota,c:Geoglossomycetes,o:Geoglossales,f:Geoglossaceae,g:Geoglossum,s:Geoglossum nigritum	k:Fungi,p:Ascomycota,c:Geoglossomycetes,o:Geoglossales,f:Geoglossaceae,g:Geoglossum	k:Fungi,p:Ascomycota,c:Geoglossomycetes,o:Geoglossales,f:Geoglossaceae
OTU631	GS|100.0|KF274260|NA;k:Fungi,p:Ascomycota,c:Lecanoromycetes	k:Fungi	k:Fungi,p:Ascomycota,c:Lecanoromycetes	k:Fungi,p:Ascomycota
OTU632	GS|99.2|KX223058|NA;k:Fungi,p:Ascomycota	k:Fungi	k:Fungi,p:Ascomycota	k:Fungi
OTU633	US|0.9690|None;k:Rhizaria,p:Cercozoa	No hit	No hit	k:Rhizaria,p:Cercozoa
OTU634	GS|99.7|JF691365|SH1542507.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Trechisporales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Trechisporales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Trechisporales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Trechisporales
OTU635	US|0.9110|None;k:Stramenopila,p:Oomycota,c:Oomycetes,o:Peronosporales	No hit	No hit	k:Stramenopila,p:Oomycota,c:Oomycetes,o:Peronosporales
OTU636	SS|0.9900|GQ463482|NA;k:Viridiplantae,p:Coniferophyta,c:Pinopsida,o:Pinales,f:Cupressaceae,g:Juniperus	k:Viridiplantae,p:Coniferophyta,c:Pinopsida,o:Pinales,f:Cupressaceae,g:Juniperus	k:Viridiplantae,p:Coniferophyta,c:Pinopsida,o:Pinales,f:Cupressaceae,g:Juniperus	k:Viridiplantae
OTU637	GSL|99.2|KY750315|SH1576715.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Massarinaceae,g:Stagonospora	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Massarinaceae,g:Stagonospora	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU638	GS|100.0|KR811094|SH1556523.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Lycoperdaceae,g:Lycoperdon,s:Lycoperdon perlatum	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Lycoperdaceae,g:Lycoperdon,s:Lycoperdon perlatum	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	No hit
OTU639	GS|99.2|KX664344|SH1559714.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lophiostomataceae,g:Vaginatispora,s:Vaginatispora fuckelii	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lophiostomataceae,g:Vaginatispora,s:Vaginatispora fuckelii	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Lophiostomataceae,g:Lophiostoma	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU640	US|0.8843|HM123685|SH1157394.08FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales	k:Fungi	k:Fungi	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales
OTU641	GS|98.7|KP867554|NA;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae	k:Fungi	k:Fungi,p:Glomeromycota	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae
OTU642	GS|100.0|JN206111|SH1506670.08FU;k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Mucoraceae,g:Mucor,s:Mucor abundans	k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Mucoraceae,g:Mucor,s:Mucor abundans	k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Mucoraceae,g:Mucor,s:Mucor abundans	k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Mucoraceae,g:Mucor
OTU643	GS|97.8|HQ592189|SH1548606.08FU;k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Mucoraceae,g:Isomucor,s:Isomucor trufemiae	k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Mucoraceae,g:Isomucor,s:Isomucor trufemiae	k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Mucoraceae,g:Isomucor,s:Isomucor trufemiae	k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Mucoraceae,g:Isomucor
OTU644	GS|99.2|KY981694|SH1612652.08FU;k:Viridiplantae,p:Chlorophyta,c:Trebouxiophyceae,o:Trebouxiales,f:Trebouxiaceae,g:Myrmecia,s:Myrmecia israeliensis	k:Viridiplantae,p:Chlorophyta,c:Trebouxiophyceae,o:Trebouxiales,f:Trebouxiaceae,g:Myrmecia,s:Myrmecia israeliensis	k:Viridiplantae,p:Chlorophyta,c:Trebouxiophyceae,o:Trebouxiales,f:Trebouxiaceae,g:Myrmecia,s:Myrmecia israeliensis	k:Viridiplantae,p:Chlorophyta,c:Trebouxiophyceae,o:Trebouxiales,f:Trebouxiaceae,g:Myrmecia
OTU645	US|0.9145|None;k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales	No hit	No hit	k:Fungi,p:Ascomycota,c:Saccharomycetes,o:Saccharomycetales
OTU646	GSL|100.0|KY979197|SH1522919.08FU;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Dermateaceae,g:Pezicula	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Dermateaceae,g:Pezicula	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Dermateaceae,g:Pezicula	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales,f:Dermateaceae,g:Pezicula
OTU647	GS|99.3|KC152266|SH1646615.08FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Tuberaceae,g:Tuber	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Tuberaceae,g:Tuber	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Tuberaceae,g:Tuber	k:Fungi
OTU648	GS|99.6|MF568785|NA;k:Fungi,p:Ascomycota,c:Eurotiomycetes	k:Fungi	k:Fungi,p:Ascomycota,c:Eurotiomycetes	k:Fungi,p:Ascomycota
OTU649	GS|97.3|KM513594|SH1570518.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,g:Conlarium	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,g:Conlarium	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,g:Conlarium	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales,g:Conlarium
OTU650	SS|1.0000|HM069413|NA;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota
OTU652	SS|0.9800|FJ237158|SH1154953.08FU;k:Rhizaria,p:Cercozoa	k:Rhizaria,p:Cercozoa	k:Rhizaria,p:Cercozoa	k:Rhizaria,p:Cercozoa
OTU653	GS|97.0|KF291199|SH1611674.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae,g:Hygrocybe	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae,g:Hygrocybe	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae,g:Hygrocybe	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Hygrophoraceae
OTU654	GS|99.3|MH452610|NA;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae
OTU655	US|0.9635|MF481366|NA;k:Fungi,p:Chytridiomycota	k:Fungi,p:Chytridiomycota,c:Spizellomycetes,o:Spizellomycetales	No hit	k:Fungi,p:Chytridiomycota
OTU656	GS|99.6|MG761295|SH1140660.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae	k:Fungi	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Thelephorales,f:Thelephoraceae
OTU657	US|0.9110|None;k:Rhodoplantae,p:Rhodophyta,c:Florideophyceae,o:Gracilariales	No hit	No hit	k:Rhodoplantae,p:Rhodophyta,c:Florideophyceae,o:Gracilariales
OTU658	GSL|100.0|GU935168|SH1607113.08FU;k:Viridiplantae,p:Anthophyta,c:Eudicotyledonae,o:Malvales,f:Malvaceae,g:Gossypium,s:Gossypium hirsutum	k:Viridiplantae,p:Anthophyta,c:Eudicotyledonae,o:Malvales,f:Malvaceae,g:Gossypium	k:Viridiplantae,p:Anthophyta,c:Eudicotyledonae,o:Malvales,f:Malvaceae,g:Gossypium,s:Gossypium hirsutum	No hit
OTU659	GS|99.0|MG161290|NA;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Hemimycena,s:Hemimycena angustispora	k:Fungi,p:Basidiomycota,c:Agaricomycetes	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Hemimycena,s:Hemimycena angustispora	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Tricholomataceae,g:Hemimycena
OTU660	GSL|100.0|EU552105|SH1525446.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae,g:Paraconiothyrium	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae,g:Paraconiothyrium
OTU661	GDL|98.6|KP160530|NA;	k:Fungi	No hit	k:Rhizaria,p:Cercozoa
OTU662	GS|99.7|KX194768|NA;k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales	k:Fungi	k:Fungi,p:Ascomycota,c:Orbiliomycetes	k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales
OTU663	GS|99.7|KY574310|SH1144063.08FU;k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae	k:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Pyronemataceae
OTU664	GS|98.0|LT608604|NA;k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella	k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae	k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella	k:Fungi,p:Mortierellomycota,c:Mortierellomycetes,o:Mortierellales,f:Mortierellaceae,g:Mortierella
OTU665	GS|98.8|UDB020911|NA;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Chaetosphaeriales,f:Chaetosphaeriaceae,g:Chaetosphaeria	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Chaetosphaeriales,f:Chaetosphaeriaceae,g:Chaetosphaeria	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Chaetosphaeriales,f:Chaetosphaeriaceae,g:Chaetosphaeria	k:Fungi
OTU666	GS|99.6|MH450697|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU667	SS|0.9700|AY916692|SH1510627.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Marasmiaceae,g:Crinipellis,s:Crinipellis zonata	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Marasmiaceae,g:Crinipellis,s:Crinipellis zonata	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Marasmiaceae,g:Crinipellis,s:Crinipellis zonata	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Marasmiaceae,g:Crinipellis
OTU668	US|0.9025|None;k:Stramenopila,p:Ochrophyta,c:Chrysophyceae,o:Chromulinales	No hit	No hit	k:Stramenopila,p:Ochrophyta,c:Chrysophyceae,o:Chromulinales
OTU669	US|0.9196|KX193162|NA;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales
OTU671	GSL|100.0|MF486096|NA;k:Fungi		k:Fungi	k:Fungi
OTU672	US|0.9653|FJ797473|NA;k:Rhizaria,p:Cercozoa	k:Rhizaria,p:Cercozoa,o:Cercomonadida,f:Cercomonadidae,g:Paracercomonas	No hit	k:Rhizaria,p:Cercozoa
OTU673	SS|0.9000|KT241638|NA;k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales	k:Fungi	k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales	k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales
OTU674	US|0.9919|MH451114|NA;k:Metazoa	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Onygenales	No hit	k:Metazoa
OTU675	GS|100.0|MH451729|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi	k:Fungi,p:Ascomycota,c:Dothideomycetes
OTU676	US|0.9397|KC180719|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU677	GS|100.0|KX193053|NA;k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales	k:Fungi,p:Ascomycota,c:Leotiomycetes,o:Helotiales
OTU678	GSL|100.0|MF039209|SH1529999.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Aspergillaceae,g:Penicillium
OTU679	GDL|98.6|KP160383|NA;	k:Fungi	No hit	k:Rhizaria,p:Cercozoa
OTU680	GS|98.0|AF216758|NA;k:Fungi,p:Chytridiomycota,c:Spizellomycetes,o:Spizellomycetales,f:Spizellomycetaceae,g:Kochiomyces,s:Kochiomyces dichotomus	k:Fungi,p:Chytridiomycota,c:Spizellomycetes,o:Spizellomycetales,f:Spizellomycetaceae,g:Kochiomyces,s:Kochiomyces dichotomus	k:Fungi,p:Chytridiomycota,c:Spizellomycetes,o:Spizellomycetales,f:Spizellomycetaceae,g:Kochiomyces	k:Fungi,p:Chytridiomycota,c:Spizellomycetes
OTU681	GS|100.0|KP160338|NA;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	No hit
OTU682	GSL|100.0|KU058719|SH1525102.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae
OTU683	SS|1.0000|KY574329|SH1155145.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Cortinariaceae	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales
OTU684	SS|0.9800|EF434091|SH1160386.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales	k:Fungi,p:Basidiomycota
OTU685	SS|0.9500|KF297031|SH1171300.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Xylariaceae	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Xylariaceae	k:Fungi,p:Ascomycota
OTU686	GS|99.7|MF484917|NA;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	k:Fungi,p:Basidiomycota,c:Agaricomycetes	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Hymenochaetales
OTU687	US|0.9598|None;k:Rhizaria,p:Cercozoa	No hit	No hit	k:Rhizaria,p:Cercozoa
OTU688	SS|1.0000|HM136615|SH1179599.08FU;k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae	k:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae	k:Fungi
OTU689	GS|100.0|JN704834|SH1615687.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Sordariales
OTU690	GS|100.0|KU537620|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi	k:Fungi	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU691	GSL|97.7|MF481774|NA;k:Rhizaria,p:Cercozoa		No hit	k:Rhizaria,p:Cercozoa
OTU692	US|0.9380|None;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales	No hit	No hit	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales
OTU693	US|0.9025|None;k:Stramenopila,p:Ochrophyta,c:Chrysophyceae,o:Chromulinales	No hit	No hit	k:Stramenopila,p:Ochrophyta,c:Chrysophyceae,o:Chromulinales
OTU694	US|0.9937|None;k:Fungi	No hit	k:Fungi	k:Fungi
OTU695	GS|98.4|LC206635|SH1525100.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Neosetophoma,s:Neosetophoma italica	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Neosetophoma,s:Neosetophoma italica	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU696	GS|100.0|HM136667|SH1155969.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Volutella	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Volutella	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Volutella	k:Fungi,p:Ascomycota
OTU697	GS|99.2|KT253498|SH1554922.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Xylariaceae,g:Biscogniauxia	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales,f:Xylariaceae,g:Biscogniauxia	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales
OTU698	GS|97.6|KY853428|SH1645909.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Melanommataceae,g:Camposporium,s:Camposporium cambrense	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Melanommataceae,g:Camposporium,s:Camposporium cambrense	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU699	GS|99.2|KC978036|SH1238352.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales
OTU700	GS|100.0|KU536840|NA;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Coniochaeta	k:Fungi	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Coniochaeta	k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Coniochaetales,f:Coniochaetaceae,g:Coniochaeta
OTU701	US|0.9110|None;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales	No hit	No hit	k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Boletales
OTU702	GS|100.0|KP235642|SH1557321.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Chaetothyriaceae	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Chaetothyriaceae	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales	k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales
OTU703	GS|99.2|MH450808|NA;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales	k:Fungi,p:Basidiomycota,c:Tremellomycetes	k:Fungi,p:Basidiomycota,c:Tremellomycetes	k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales
OTU704	SS|0.8900|MH266700|NA;k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Cunninghamellaceae,g:Absidia	k:Fungi	k:Fungi,p:Mucoromycota,c:Mucoromycetes,o:Mucorales,f:Cunninghamellaceae,g:Absidia	k:Fungi,p:Mucoromycota
OTU705	GSL|100.0|KY312668|NA;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae	k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae	k:Fungi,p:Ascomycota	k:Fungi,p:Ascomycota
